instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_actual,hum_actual,day_type,casual_pct,registered_pct
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,18.04,82.0,Weekend/Holiday,22.058823529411764,76.47058823529412
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,17.22,88.0,Weekend/Holiday,25.0,72.22222222222221
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,17.22,88.0,Weekend/Holiday,15.789473684210526,81.57894736842105
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,16.400000000000002,87.0,Weekend/Holiday,29.72972972972973,67.56756756756756
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,16.400000000000002,87.0,Weekend/Holiday,8.571428571428571,88.57142857142857
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,16.400000000000002,94.0,Weekend/Holiday,37.93103448275862,58.620689655172406
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,18.86,88.0,Weekend/Holiday,37.5,60.0
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,18.86,88.0,Weekend/Holiday,22.22222222222222,72.22222222222221
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,18.04,94.0,Weekend/Holiday,5.555555555555555,88.88888888888889
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,17.22,100.0,Weekend/Holiday,10.0,80.0
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,18.86,94.0,Weekend/Holiday,28.57142857142857,57.14285714285714
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,18.86,94.0,Weekend/Holiday,50.0,25.0
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,17.22,77.0,Weekend/Holiday,0.0,66.66666666666666
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,16.400000000000002,76.0,Weekend/Holiday,0.0,50.0
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,16.400000000000002,71.0,Weekend/Holiday,0.0,88.88888888888889
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,15.58,76.0,Weekend/Holiday,4.761904761904762,90.47619047619048
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,14.76,81.0,Weekend/Holiday,12.962962962962962,85.18518518518519
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,14.76,71.0,Weekend/Holiday,22.535211267605636,76.05633802816901
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,14.76,66.0,Weekend/Holiday,21.27659574468085,77.6595744680851
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,14.76,66.0,Weekend/Holiday,14.473684210526317,84.21052631578947
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,14.76,76.0,Weekend/Holiday,6.666666666666667,91.66666666666666
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,13.940000000000001,81.0,Weekend/Holiday,25.333333333333336,73.33333333333333
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,13.940000000000001,71.0,Weekend/Holiday,11.688311688311687,87.01298701298701
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,13.940000000000001,56.99999999999999,Weekend/Holiday,10.606060606060606,87.87878787878788
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,14.76,46.0,Weekend/Holiday,18.51851851851852,79.62962962962963
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,13.120000000000001,42.0,Weekend/Holiday,3.225806451612903,93.54838709677419
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,12.299999999999999,39.0,Weekend/Holiday,21.73913043478261,73.91304347826086
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,10.66,44.0,Weekend/Holiday,34.375,62.5
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,9.84,44.0,Weekend/Holiday,0.0,90.0
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,9.02,47.0,Weekend/Holiday,0.0,88.88888888888889
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,9.02,44.0,Workday,0.0,83.33333333333334
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,8.200000000000001,44.0,Workday,0.0,66.66666666666666
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,6.5600000000000005,47.0,Workday,0.0,50.0
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,6.5600000000000005,47.0,Workday,0.0,75.0
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,5.74,50.0,Workday,0.0,96.7741935483871
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,5.74,50.0,Workday,1.5384615384615385,96.92307692307692
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,5.74,50.0,Workday,0.6451612903225806,98.70967741935483
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,6.5600000000000005,43.0,Workday,7.865168539325842,91.01123595505618
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,7.38,43.0,Workday,24.444444444444443,73.33333333333333
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,8.200000000000001,40.0,Workday,19.230769230769234,78.84615384615384
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,9.02,35.0,Workday,20.967741935483872,77.41935483870968
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,9.84,35.0,Workday,12.903225806451612,85.48387096774194
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,10.66,30.0,Workday,14.102564102564102,84.61538461538461
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,10.66,30.0,Workday,19.17808219178082,79.45205479452055
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,10.66,30.0,Workday,11.688311688311687,87.01298701298701
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,9.84,30.0,Workday,6.962025316455696,92.40506329113924
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,9.84,32.0,Workday,5.69620253164557,93.67088607594937
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,8.200000000000001,47.0,Workday,7.207207207207207,91.8918918918919
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,8.200000000000001,47.0,Workday,5.660377358490567,92.45283018867924
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,7.38,64.0,Workday,5.660377358490567,92.45283018867924
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,5.74,69.0,Workday,0.0,95.23809523809523
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,7.38,55.00000000000001,Workday,7.6923076923076925,84.61538461538461
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,6.5600000000000005,55.00000000000001,Workday,0.0,83.33333333333334
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,6.5600000000000005,59.0,Workday,0.0,66.66666666666666
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,5.74,63.0,Workday,0.0,50.0
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,5.74,63.0,Workday,0.0,66.66666666666666
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,4.92,68.0,Workday,0.0,80.0
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,4.92,74.0,Workday,0.0,97.2972972972973
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,4.92,74.0,Workday,2.1052631578947367,96.84210526315789
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,5.74,69.0,Workday,1.1111111111111112,98.33333333333333
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,6.5600000000000005,64.0,Workday,1.9801980198019802,97.02970297029702
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,6.5600000000000005,69.0,Workday,11.627906976744185,86.04651162790698
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,9.02,51.0,Workday,12.068965517241379,86.20689655172413
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,9.02,51.0,Workday,15.18987341772152,83.54430379746836
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,9.84,56.00000000000001,Workday,18.367346938775512,80.61224489795919
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,10.66,52.0,Workday,14.0625,84.375
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,11.48,52.0,Workday,25.757575757575758,72.72727272727273
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,12.299999999999999,49.0,Workday,17.857142857142858,80.95238095238095
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,11.48,48.0,Workday,4.694835680751173,94.83568075117371
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,10.66,48.0,Workday,1.639344262295082,97.81420765027322
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,9.84,48.0,Workday,1.7699115044247788,97.34513274336283
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,9.84,48.0,Workday,1.8181818181818181,96.36363636363636
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,9.02,64.0,Workday,0.0,97.95918367346938
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,9.02,64.0,Workday,2.7777777777777777,94.44444444444444
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,8.200000000000001,69.0,Workday,16.666666666666664,75.0
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,8.200000000000001,64.0,Workday,0.0,85.71428571428571
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,6.5600000000000005,74.0,Workday,0.0,85.71428571428571
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,6.5600000000000005,74.0,Workday,0.0,66.66666666666666
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,9.84,48.0,Workday,0.0,66.66666666666666
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,9.02,47.0,Workday,0.0,75.0
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,8.200000000000001,47.0,Workday,0.0,97.05882352941177
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,7.38,43.0,Workday,1.1235955056179776,97.75280898876404
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,8.200000000000001,40.0,Workday,1.530612244897959,97.95918367346938
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,9.02,37.0,Workday,5.172413793103448,93.96551724137932
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,9.02,37.0,Workday,6.896551724137931,91.37931034482759
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,10.66,33.0,Workday,25.53191489361702,72.3404255319149
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,10.66,33.0,Workday,6.25,92.5
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,11.48,30.0,Workday,8.333333333333332,90.27777777777779
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,12.299999999999999,28.000000000000004,Workday,15.873015873015872,82.53968253968253
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,12.299999999999999,28.000000000000004,Workday,11.11111111111111,87.3015873015873
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,12.299999999999999,28.000000000000004,Workday,4.444444444444445,94.44444444444444
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,9.84,38.0,Workday,2.094240837696335,97.38219895287958
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,9.84,38.0,Workday,1.7647058823529411,97.6470588235294
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,9.84,38.0,Workday,3.7593984962406015,95.48872180451127
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,9.02,47.0,Workday,7.777777777777778,91.11111111111111
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,8.200000000000001,51.0,Workday,6.8181818181818175,90.9090909090909
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,7.38,55.00000000000001,Workday,2.3255813953488373,95.34883720930233
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,8.200000000000001,47.0,Workday,5.0,90.0
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,7.38,55.00000000000001,Workday,0.0,91.66666666666666
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,6.5600000000000005,64.0,Workday,0.0,80.0
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,6.5600000000000005,64.0,Workday,0.0,66.66666666666666
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,6.5600000000000005,64.0,Workday,0.0,50.0
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,5.74,69.0,Workday,0.0,80.0
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,5.74,63.0,Workday,0.0,97.2972972972973
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,6.5600000000000005,59.0,Workday,0.0,98.95833333333334
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,6.5600000000000005,59.0,Workday,1.3636363636363635,98.18181818181819
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,7.38,51.0,Workday,4.878048780487805,94.3089430894309
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,8.200000000000001,47.0,Workday,6.521739130434782,91.30434782608695
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,9.02,44.0,Workday,3.3333333333333335,95.0
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,10.66,35.0,Workday,7.0588235294117645,91.76470588235294
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,10.66,35.0,Workday,17.647058823529413,80.88235294117648
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,11.48,36.0,Workday,15.492957746478872,83.09859154929578
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,11.48,36.0,Workday,12.698412698412698,85.71428571428571
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,10.66,38.0,Workday,13.793103448275861,85.0574712643678
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,9.02,51.0,Workday,5.202312138728324,94.21965317919076
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,9.02,51.0,Workday,3.048780487804878,96.34146341463415
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,9.02,55.00000000000001,Workday,2.6548672566371683,96.46017699115043
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,8.200000000000001,51.0,Workday,4.285714285714286,94.28571428571428
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,9.02,55.00000000000001,Workday,0.0,97.95918367346938
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,9.02,51.0,Workday,1.8867924528301887,96.22641509433963
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,8.200000000000001,59.0,Workday,16.666666666666664,79.16666666666666
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,8.200000000000001,64.0,Workday,22.22222222222222,72.22222222222221
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,8.200000000000001,69.0,Workday,25.0,62.5
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,8.200000000000001,69.0,Workday,0.0,50.0
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,8.200000000000001,69.0,Workday,0.0,50.0
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,9.02,55.00000000000001,Workday,0.0,83.33333333333334
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,8.200000000000001,69.0,Workday,22.857142857142858,74.28571428571429
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,8.200000000000001,69.0,Workday,9.411764705882353,89.41176470588236
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,8.200000000000001,51.0,Workday,9.47867298578199,90.04739336492891
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,8.200000000000001,47.0,Workday,6.666666666666667,92.5925925925926
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,9.02,37.0,Workday,25.0,73.4375
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,8.200000000000001,40.0,Workday,27.941176470588236,70.58823529411765
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,8.200000000000001,37.0,Workday,15.0,83.33333333333334
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,8.200000000000001,37.0,Workday,12.162162162162163,86.48648648648648
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,8.200000000000001,40.0,Workday,13.725490196078432,84.31372549019608
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,8.200000000000001,37.0,Workday,12.32876712328767,86.3013698630137
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,8.200000000000001,37.0,Workday,5.681818181818182,93.18181818181817
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,8.200000000000001,37.0,Workday,4.787234042553192,94.68085106382979
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,8.200000000000001,40.0,Workday,5.64516129032258,93.54838709677419
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,6.5600000000000005,55.00000000000001,Workday,3.125,95.83333333333334
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,7.38,47.0,Workday,1.9230769230769231,96.15384615384616
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,7.38,47.0,Workday,0.0,97.5
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,7.38,43.0,Workday,5.405405405405405,91.8918918918919
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,7.38,51.0,Workday,6.25,87.5
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,7.38,51.0,Weekend/Holiday,3.8461538461538463,92.3076923076923
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,7.38,55.00000000000001,Weekend/Holiday,5.88235294117647,88.23529411764706
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,7.38,55.00000000000001,Weekend/Holiday,17.647058823529413,76.47058823529412
165,2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,7.38,55.00000000000001,Weekend/Holiday,0.0,87.5
166,2011-01-08,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,7.38,55.00000000000001,Weekend/Holiday,0.0,50.0
167,2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,6.5600000000000005,74.0,Weekend/Holiday,0.0,83.33333333333334
168,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,6.5600000000000005,74.0,Weekend/Holiday,0.0,66.66666666666666
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,6.5600000000000005,74.0,Weekend/Holiday,10.0,80.0
170,2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,6.5600000000000005,93.0,Weekend/Holiday,0.0,93.75
171,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,6.5600000000000005,93.0,Weekend/Holiday,0.0,95.23809523809523
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,7.38,80.0,Weekend/Holiday,8.064516129032258,90.32258064516128
173,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,8.200000000000001,69.0,Weekend/Holiday,3.1746031746031744,95.23809523809523
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,8.200000000000001,59.0,Weekend/Holiday,8.080808080808081,90.9090909090909
175,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,8.200000000000001,44.0,Weekend/Holiday,6.796116504854369,92.23300970873787
